1757 1673 2004
2058 1878 1578
455 4690 174
1390 6109 1740
1310 9144 1383
6732 557 7073
584 3647 2479
200 110 7853
5329 6421 5397
4972 5550 5118
333 8976 822
5379 5208 1025
9497 3165 288
1826 3863 83
5791 7687 7007
573 4239 5283
1287 861 506
7803 7812 9497
1565 313 6
7985 3936 7482
1752 3596 831
72 899 94
5279 3808 1530
4736 7359 6278
3702 2473 299
6053 7163 1055
8101 734 7484
2716 2234 617
111 70 1864
3233 8089 6002
465 3757 220
8218 5696 3044
2216 1690 174
4464 2471 1124
158 1998 38
746 2118 3483
793 5624 5257
4783 1367 6585
6836 5789 577
1108 576 165
8018 462 8772
6582 3257 1164
682 3677 1564
6619 6439 3603
4144 4812 104
4441 7905 904
8171 7952 1135
1310 4 1383
8916 7703 6278
1367 5672 6585
5517 1855 3005
8043 2469 5226
7396 6686 8979
9497 3166 394
6582 3257 1164
2712 2788 7076
1322 1350 2385
3864 6157 2468
2537 9203 6581
6582 3257 1164
7889 1383 4
4554 1012 230
4413 8223 1247
1623 3329 6128
5907 4034 3092
854 3413 764
7803 7812 9497
2836 5327 1540
6582 3257 1164
8095 7672 6549
4972 2249 6338
6757 8308 5254
2221 225 1703
8091 1935 1206
1684 337 1703
796 1159 9144
2959 793 1102
399 6701 4925
2313 3089 701
1870 3503 4346
1746 1403 3524
9007 8298 5771
94 1075 657
822 3911 7988
5165 7974 9215
149 4253 2612
5792 5223 5816
2595 7934 2729
861 127 1287
2435 2581 1341
5312 7952 2484
1364 5050 1673
6495 8309 8635
435 9294 1888
2560 1110 8090
6292 6211 6796
3423 1907 2851
3169 7426 1597
1882 1541 9131
4234 5677 3424
2386 5118 1379
1110 120 2600
6187 2795 7281
6582 3257 1164
4144 44 3445
3704 1978 1777
1501 1520 2584
861 506 331
8718 6737 507
7803 7812 9497
94 72 570
7291 6976 5181
3273 9203 6581
5111 1262 1888
7715 4788 5226
205 158 3947
4555 2938 4533
940 2476 2595
5887 1329 8456
956 975 2249
899 529 1011
193 200 120
4218 6132 1467
6258 212 6316
708 2060 1267
2333 2337 964
9177 7187 2457
3595 1287 88
269 2813 121
1062 8124 1395
2684 1173 7286
7110 1066 1939
1364 2271 9131
3622 4919 5464
6343 6380 8943
2524 6 875
7364 1438 3063
3578 5020 818
3786 5298 8887
555 8349 3881
3597 2475 394
8714 7328 6118
1008 6054 2674
6189 6141 7752
1202 1520 3181
7803 7812 9497
3767 765 816
3625 3190 4576
1051 203 1634
2612 85 1829
841 185 601
